Type,Name,Version,Has Exception,Exception Reason,License ID,License Source
golang,cloud.google.com/go/bigquery,v1.5.0,No,,Apache-2.0,LICENSE
golang,cloud.google.com/go/datastore,v1.1.0,No,,Apache-2.0,LICENSE
golang,cloud.google.com/go/pubsub,v1.3.1,No,,Apache-2.0,LICENSE
golang,cloud.google.com/go/storage,v1.6.0,No,,Apache-2.0,LICENSE
golang,cloud.google.com/go,v0.54.0,No,,Apache-2.0,LICENSE
golang,cloud.google.com/go,v0.54.0,No,,,license_test.go
golang,github.com/Azure/go-ansiterm,v0.0.0-20170929234023-d6e3b3328b78,No,,MIT,LICENSE
golang,github.com/BurntSushi/toml,v0.3.1,No,,MIT,COPYING
golang,github.com/DataDog/zstd,v1.4.4,No,,,LICENSE
golang,github.com/Masterminds/semver,v1.5.0,No,,MIT,LICENSE.txt
golang,github.com/Microsoft/go-winio,v0.4.14,No,,MIT,LICENSE
golang,github.com/NYTimes/gziphandler,v1.1.1,No,,Apache-2.0,LICENSE
golang,github.com/OpenPeeDeeP/depguard,v1.0.1,No,,GPL-3.0,LICENSE
golang,github.com/PuerkitoBio/purell,v1.1.1,No,,BSD-3-Clause,LICENSE
golang,github.com/PuerkitoBio/urlesc,v0.0.0-20170810143723-de5bf2ad4578,No,,BSD-3-Clause,LICENSE
golang,github.com/RoaringBitmap/roaring,v0.4.21,No,,Apache-2.0,LICENSE
golang,github.com/avelino/slugify,v0.0.0-20180501145920-855f152bd774,No,,MIT,LICENSE
golang,github.com/aws/aws-sdk-go-v2,v0.19.0,No,,Apache-2.0,LICENSE.txt
golang,github.com/beevik/etree,v1.1.0,No,,,LICENSE
golang,github.com/beorn7/perks,v1.0.1,No,,MIT,LICENSE
golang,github.com/boj/redistore,v0.0.0-20180917114910-cd5dcc76aeff,No,,MIT,LICENSE
golang,github.com/bombsimon/wsl/v2,v2.2.0,No,,MIT,LICENSE
golang,github.com/certifi/gocertifi,v0.0.0-20200211180108-c7c1fbc02894,No,,MPL-2.0,LICENSE
golang,github.com/cespare/xxhash/v2,v2.1.1,No,,MIT,LICENSE.txt
golang,github.com/cespare/xxhash,v1.1.0,No,,MIT,LICENSE.txt
golang,github.com/codahale/hdrhistogram,v0.0.0-20161010025455-3a0bb77429bd,No,,MIT,LICENSE
golang,github.com/containerd/containerd,v1.3.3,No,,Apache-2.0,LICENSE
golang,github.com/coreos/go-oidc,v2.2.1+incompatible,No,,Apache-2.0,LICENSE
golang,github.com/coreos/go-semver,v0.3.0,No,,Apache-2.0,LICENSE
golang,github.com/cosiner/argv,v0.0.1,No,,MIT,LICENSE
golang,github.com/crewjam/saml,v0.4.0,No,,BSD-2-Clause,LICENSE
golang,github.com/davecgh/go-spew,v1.1.1,No,,ISC,LICENSE
golang,github.com/daviddengcn/go-colortext,v0.0.0-20180409174941-186a3d44e920,No,,MIT,README.md
golang,github.com/daviddengcn/go-colortext,v0.0.0-20180409174941-186a3d44e920,No,,,LICENSE
golang,github.com/dghubble/gologin,v2.2.0+incompatible,No,,MIT,LICENSE
golang,github.com/dgrijalva/jwt-go,v3.2.0+incompatible,No,,MIT,LICENSE
golang,github.com/dhui/dktest,v0.3.2,No,,Apache-2.0,LICENSE
golang,github.com/dnaeon/go-vcr,v1.0.1,No,,BSD-2-Clause,README.md
golang,github.com/dnaeon/go-vcr,v1.0.1,No,,,LICENSE
golang,github.com/docker/distribution,v2.7.1+incompatible,No,,Apache-2.0,LICENSE
golang,github.com/docker/docker,v1.4.2-0.20200213202729-31a86c4ab209,No,,Apache-2.0,LICENSE
golang,github.com/docker/go-connections,v0.4.0,No,,Apache-2.0,LICENSE
golang,github.com/docker/go-units,v0.4.0,No,,Apache-2.0,LICENSE
golang,github.com/emersion/go-imap,v1.0.4,No,,MIT,LICENSE
golang,github.com/emersion/go-sasl,v0.0.0-20191210011802-430746ea8b9b,No,,MIT,LICENSE
golang,github.com/ericchiang/k8s,v1.2.0,No,,Apache-2.0,LICENSE
golang,github.com/facebookgo/clock,v0.0.0-20150410010913-600d898af40a,No,,MIT,LICENSE
golang,github.com/facebookgo/ensure,v0.0.0-20200202191622-63f1cf65ac4c,No,,,license
golang,github.com/facebookgo/limitgroup,v0.0.0-20150612190941-6abd8d71ec01,No,,,license
golang,github.com/facebookgo/muster,v0.0.0-20150708232844-fd3d7953fd52,No,,,license
golang,github.com/facebookgo/stack,v0.0.0-20160209184415-751773369052,No,,,license
golang,github.com/facebookgo/subset,v0.0.0-20200203212716-c811ad88dec4,No,,,license
golang,github.com/fatih/astrewrite,v0.0.0-20191207154002-9094e544fcef,No,,MIT,LICENSE
golang,github.com/fatih/color,v1.9.0,No,,MIT,LICENSE.md
golang,github.com/felixfbecker/stringscore,v0.0.0-20170928081130-e71a9f1b0749,No,,MIT,LICENSE.txt
golang,github.com/felixge/httpsnoop,v1.0.1,No,,MIT,LICENSE.txt
golang,github.com/fsnotify/fsnotify,v1.4.9,No,,BSD-3-Clause,LICENSE
golang,github.com/gchaincl/sqlhooks,v1.3.0,No,,MIT,LICENSE
golang,github.com/getsentry/raven-go,v0.2.0,No,,BSD-3-Clause,LICENSE
golang,github.com/ghodss/yaml,v1.0.0,No,,,LICENSE
golang,github.com/gin-contrib/sse,v0.1.0,No,,MIT,LICENSE
golang,github.com/gin-gonic/gin,v1.5.0,No,,MIT,LICENSE
golang,github.com/gitchander/permutation,v0.0.0-20181107151852-9e56b92e9909,No,,MIT,LICENSE
golang,github.com/glycerine/go-unsnap-stream,v0.0.0-20190901134440-81cf024a9e0a,No,,MIT,LICENSE
golang,github.com/glycerine/goconvey,v0.0.0-20190410193231-58a59202ab31,No,,,LICENSE.md
golang,github.com/go-critic/go-critic,v0.4.1,No,,MIT,LICENSE
golang,github.com/go-delve/delve,v1.4.0,No,,MIT,LICENSE
golang,github.com/go-lintpack/lintpack,v0.5.2,No,,BSD-3-Clause,LICENSE
golang,github.com/go-playground/locales,v0.13.0,No,,MIT,LICENSE
golang,github.com/go-playground/universal-translator,v0.17.0,No,,MIT,LICENSE
golang,github.com/go-redsync/redsync,v1.3.1,No,,BSD-3-Clause,LICENSE
golang,github.com/go-sql-driver/mysql,v1.5.0,No,,Apache-2.0,README.md
golang,github.com/go-sql-driver/mysql,v1.5.0,No,,MPL-2.0,LICENSE
golang,github.com/go-stack/stack,v1.8.0,No,,MIT,LICENSE.md
golang,github.com/go-toolsmith/astcast,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/astcopy,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/astequal,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/astfmt,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/astp,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/pkgload,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/strparse,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/typep,v1.0.0,No,,MIT,LICENSE
golang,github.com/gobwas/glob,v0.2.3,No,,MIT,LICENSE
golang,github.com/gofrs/flock,v0.0.0-20190320160742-5135e617513b,No,,BSD-3-Clause,LICENSE
golang,github.com/gogo/protobuf,v1.3.1,No,,,LICENSE
golang,github.com/golang-migrate/migrate/v4,v4.10.0,No,,,LICENSE
golang,github.com/golang/gddo,v0.0.0-20200310004957-95ce5a452273,No,,BSD-3-Clause,LICENSE
golang,github.com/golang/groupcache,v0.0.0-20200121045136-8c9f03a8e57e,No,,Apache-2.0,LICENSE
golang,github.com/golang/protobuf,v1.3.5,No,,BSD-3-Clause,LICENSE
golang,github.com/golang/snappy,v0.0.1,No,,BSD-3-Clause,LICENSE
golang,github.com/golangci/check,v0.0.0-20180506172741-cfe4005ccda2,No,,GPL-3.0,LICENSE
golang,github.com/golangci/dupl,v0.0.0-20180902072040-3e9179ac440a,No,,MIT,LICENSE
golang,github.com/golangci/errcheck,v0.0.0-20181223084120-ef45e06d44b6,No,,MIT,LICENSE
golang,github.com/golangci/go-misc,v0.0.0-20180628070357-927a3d87b613,No,,,LICENSE
golang,github.com/golangci/goconst,v0.0.0-20180610141641-041c5f2b40f3,No,,MIT,LICENSE
golang,github.com/golangci/gocyclo,v0.0.0-20180528144436-0a533e8fa43d,No,,BSD-3-Clause,LICENSE
golang,github.com/golangci/golangci-lint,v1.23.8,No,,GPL-3.0,LICENSE
golang,github.com/golangci/ineffassign,v0.0.0-20190609212857-42439a7714cc,No,,MIT,LICENSE
golang,github.com/golangci/lint-1,v0.0.0-20191013205115-297bf364a8e0,No,,BSD-3-Clause,LICENSE
