package_manager,name,version,licenses,homepage,approved
Yarn,@apidevtools/json-schema-ref-parser,9.0.1,MIT,https://apitools.dev/json-schema-ref-parser/,Approved
Yarn,@atlassian/aui,7.10.1,SEE LICENSE IN LICENSE.md,https://docs.atlassian.com/aui/latest/,Not approved
Yarn,@babel/code-frame,7.0.0,MIT,https://babeljs.io/,Approved
Yarn,@babel/code-frame,7.10.1,MIT,https://babeljs.io/,Approved
Yarn,@babel/compat-data,7.10.1,MIT,https://babeljs.io/team,Approved
Yarn,@babel/core,7.10.2,MIT,https://babeljs.io/,Approved
Yarn,@babel/core,7.9.0,MIT,https://babeljs.io/,Approved
Yarn,@babel/generator,7.10.2,MIT,https://babeljs.io/,Approved
Yarn,@babel/helper-annotate-as-pure,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-builder-binary-assignment-operator-visitor,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-builder-react-jsx,7.9.0,MIT,Unknown,Approved
Yarn,@babel/helper-builder-react-jsx-experimental,7.9.0,MIT,Unknown,Approved
Yarn,@babel/helper-compilation-targets,7.10.2,MIT,https://babeljs.io/team,Approved
Yarn,@babel/helper-create-class-features-plugin,7.10.2,MIT,https://babeljs.io/team,Approved
Yarn,@babel/helper-create-regexp-features-plugin,7.10.1,MIT,https://babeljs.io/team,Approved
Yarn,@babel/helper-define-map,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-explode-assignable-expression,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-function-name,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-get-function-arity,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-hoist-variables,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-member-expression-to-functions,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-module-imports,7.10.1,MIT,https://babeljs.io/,Approved
Yarn,@babel/helper-module-transforms,7.10.1,MIT,https://babeljs.io/,Approved
Yarn,@babel/helper-optimise-call-expression,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-plugin-utils,7.10.1,MIT,https://babeljs.io/,Approved
Yarn,@babel/helper-regex,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-remap-async-to-generator,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-replace-supers,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-simple-access,7.10.1,MIT,https://babeljs.io/,Approved
Yarn,@babel/helper-split-export-declaration,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-validator-identifier,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helper-wrap-function,7.10.1,MIT,Unknown,Approved
Yarn,@babel/helpers,7.10.1,MIT,https://babeljs.io/,Approved
Yarn,@babel/highlight,7.10.1,MIT,https://babeljs.io/,Approved
Yarn,@babel/parser,7.10.2,MIT,https://babeljs.io/,Approved
Yarn,@babel/plugin-proposal-async-generator-functions,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-proposal-class-properties,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-proposal-class-properties,7.8.3,MIT,Unknown,Approved
Yarn,@babel/plugin-proposal-decorators,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-proposal-decorators,7.8.3,MIT,Unknown,Approved
Yarn,@babel/plugin-proposal-dynamic-import,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-proposal-json-strings,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-proposal-nullish-coalescing-operator,7.10.1,MIT,Unknown,Approved
