Dependency;Version;SPDX ID;License;Allowed
cloud.google.com/go;v0.56.0;Apache-2.0;Apache License 2.0;yes
cloud.google.com/go/pubsub;v1.3.1;Apache-2.0;Apache License 2.0;yes
github.com/Masterminds/semver;v1.5.0;MIT;MIT License;yes
github.com/NYTimes/gziphandler;v1.1.1;Apache-2.0;Apache License 2.0;yes
github.com/PuerkitoBio/purell;v1.1.1;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/PuerkitoBio/urlesc;v0.0.0-20170810143723-de5bf2ad4578;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/RoaringBitmap/roaring;v0.4.23;Apache-2.0;Apache License 2.0;yes
github.com/avelino/slugify;v0.0.0-20180501145920-855f152bd774;MIT;MIT License;yes
github.com/aws/aws-sdk-go-v2;v0.20.0;Apache-2.0;Apache License 2.0;yes
github.com/beevik/etree;v1.1.0;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
github.com/beorn7/perks;v1.0.1;MIT;MIT License;yes
github.com/boj/redistore;v0.0.0-20180917114910-cd5dcc76aeff;MIT;MIT License;yes
github.com/certifi/gocertifi;v0.0.0-20200211180108-c7c1fbc02894;MPL-2.0;Mozilla Public License 2.0;yes
github.com/cespare/xxhash;v2.1.1;MIT;MIT License;yes
github.com/containerd/containerd;v1.3.3;Apache-2.0;Apache License 2.0;yes
github.com/coreos/go-oidc;v2.2.1+incompatible;Apache-2.0;Apache License 2.0;yes
github.com/coreos/go-semver;v0.3.0;Apache-2.0;Apache License 2.0;yes
github.com/daviddengcn/go-colortext;v1.0.0;MIT;MIT License;yes
github.com/dnaeon/go-vcr;v1.0.1;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
github.com/docker/distribution;v2.7.1+incompatible;Apache-2.0;Apache License 2.0;yes
github.com/docker/docker;v1.4.2-0.20200213202729-31a86c4ab209;Apache-2.0;Apache License 2.0;yes
github.com/docker/go-connections;v0.4.0;Apache-2.0;Apache License 2.0;yes
github.com/docker/go-units;v0.4.0;Apache-2.0;Apache License 2.0;yes
github.com/emersion/go-imap;v1.0.4;MIT;MIT License;yes
github.com/emersion/go-sasl;v0.0.0-20191210011802-430746ea8b9b;MIT;MIT License;yes
github.com/ericchiang/k8s;v1.2.0;Apache-2.0;Apache License 2.0;yes
github.com/facebookgo/clock;v0.0.0-20150410010913-600d898af40a;MIT;MIT License;yes
github.com/facebookgo/limitgroup;v0.0.0-20150612190941-6abd8d71ec01;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/facebookgo/muster;v0.0.0-20150708232844-fd3d7953fd52;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/fatih/color;v1.9.0;MIT;MIT License;yes
github.com/felixfbecker/stringscore;v0.0.0-20170928081130-e71a9f1b0749;MIT;MIT License;yes
github.com/felixge/httpsnoop;v1.0.1;MIT;MIT License;yes
