name,time/op (ns/op),±
LoadKubernetes-12,1.77328E+09,11%
LoadLinux-12,7.57266E+09,11%
LoadChromium-12,2.80420E+10,27%
QueryFlaskShort-12,1.90210E+04,0%
QueryFlaskMedium-12,1.00773E+05,0%
QueryFlaskLong-12,1.23825E+05,0%
QuerySourcegraphShort-12,6.01945E+05,0%
QuerySourcegraphMedium-12,6.38968E+06,0%
QuerySourcegraphLong-12,4.15094E+06,0%
QueryKubernetesShort-12,3.79035E+06,0%
QueryKubernetesMedium-12,7.28961E+06,0%
QueryKubernetesLong-12,5.29587E+06,0%
QueryLinuxShort-12,3.58744E+06,0%
QueryLinuxMedium-12,1.14153E+07,0%
QueryLinuxLong-12,1.15421E+07,0%
QueryChromiumShort-12,1.38115E+07,0%
QueryChromiumMedium-12,2.62472E+07,0%
QueryChromiumLong-12,1.60228E+07,0%
LoadFlask-12,4.41912E+07,0%
LoadSourcegraph-12,6.77677E+08,3%

name,bloom-storage-size (bloom-storage-size),±
LoadKubernetes-12,4.64455E+07,0%
LoadLinux-12,2.11774E+08,0%
LoadChromium-12,5.19300E+08,0%
QueryFlaskShort-12
QueryFlaskMedium-12
QueryFlaskLong-12
QuerySourcegraphShort-12
QuerySourcegraphMedium-12
QuerySourcegraphLong-12
QueryKubernetesShort-12
QueryKubernetesMedium-12
QueryKubernetesLong-12
QueryLinuxShort-12
QueryLinuxMedium-12
QueryLinuxLong-12
QueryChromiumShort-12
QueryChromiumMedium-12
QueryChromiumLong-12
LoadFlask-12,4.15416E+05,0%
LoadSourcegraph-12,1.30102E+07,0%

name,compression-ratio (compression-ratio),±
LoadKubernetes-12,2.83900E-01,0%
LoadLinux-12,2.39900E-01,0%
LoadChromium-12,3.00900E-01,0%
QueryFlaskShort-12
QueryFlaskMedium-12
QueryFlaskLong-12
QuerySourcegraphShort-12
QuerySourcegraphMedium-12
QuerySourcegraphLong-12
QueryKubernetesShort-12
QueryKubernetesMedium-12
QueryKubernetesLong-12
QueryLinuxShort-12
QueryLinuxMedium-12
QueryLinuxLong-12
QueryChromiumShort-12
QueryChromiumMedium-12
QueryChromiumLong-12
LoadFlask-12,3.44500E-01,0%
LoadSourcegraph-12,2.42400E-01,0%

name,indexed-blobs-size (indexed-blobs-size),±
LoadKubernetes-12,1.63573E+08,0%
LoadLinux-12,8.82762E+08,0%
LoadChromium-12,1.72605E+09,0%
QueryFlaskShort-12
QueryFlaskMedium-12
QueryFlaskLong-12
QuerySourcegraphShort-12
QuerySourcegraphMedium-12
QuerySourcegraphLong-12
QueryKubernetesShort-12
QueryKubernetesMedium-12
QueryKubernetesLong-12
QueryLinuxShort-12
QueryLinuxMedium-12
QueryLinuxLong-12
QueryChromiumShort-12
QueryChromiumMedium-12
QueryChromiumLong-12
LoadFlask-12,1.20568E+06,0%
LoadSourcegraph-12,5.36688E+07,0%

name,alloc/op (B/op),±
LoadKubernetes-12,8.55393E+09,0%
LoadLinux-12,3.06812E+10,0%
LoadChromium-12,1.25125E+11,0%
QueryFlaskShort-12,4.52800E+03,0%
