Protections:
 # No perms by default
 list group everyone * -//...

 # Grant subpaths to //app/main
 write group everyone * //app/main/core/...
 write group everyone * //app/main/*/stuff/...
 write group everyone * //app/main/frontend/.../stuff/*
 write group everyone * //*/main/config.yaml
 write group everyone * //app/main/subdir/...
 write group everyone * -//app/main/subdir/remove/
 write group everyone * //app/main/subdir/some-dir/also-remove/...
 write group everyone * //app/main/subdir/another-dir/also-remove/...
 write group everyone * -//app/main/subdir/*/also-remove/...

 # Grant all to //app/test
 write group everyone * //app/test/...

 # Grant all of //app/training, except for some subpaths
 write group everyone * //app/training/...
 write group everyone * -//app/training/secrets/...
 write group everyone * -//app/training/.env

 # Grant access to certain files in all depots
 write group everyone * //app/.../README.md
 write group everyone * //app/*/dir.yaml

 # Unconfigured depot
 write group everyone * //not-configured/...
 write group everyone * //*/not-configured/...

 # Revoke entire depot
 write group everyone * -//app/rickroll/...

 # Revoke access to a file in all depots
 write group everyone * -//.../.secrets.env
