    super   user     admin         *                             //...

    read    group    remotedev     192.168.10.0/24              -//depot/src/main/...
    read    group    remotedev     [2001:db8:16:81::]/48        -//depot/src/main/...

    write   group    remotedev     proxy-192.168.10.0/24         //depot/src/main/...
    write   group    remotedev     proxy-[2001:db8:16:81::]/48   //depot/src/main/...

    read    group    remotedev     proxy-10.0.0.0/8             -//depot/src/dev/...
    read    group    remotedev     proxy-[2001:db8:1008::]/32   -//depot/src/dev/...

    write   group    remotedev     10.0.0.0/8                    //depot/src/dev/...
    write   group    remotedev     [2001:db8:1008::]/32          //depot/src/dev/...

    read    user     alice         192.168.41.2                  //depot/project1/...
    write   user     bob           [2001:db8:195:1:2::1234]      //depot/project2/...

    write   group    localdev      192.168.41.*                  //depot/local/...
    read    user     charlie       [2001:db8:1:2:*]              //depot/test/...
